Client,Project,Name,Task,Date,Hours,Note,Billable
Client 1,Website Development,John Smith,Design,2023-07-07,1,Managed and coordinated design team,Yes
Client 1,Website Development,John Smith,Design,2023-07-08,0.5,Held design review meeting,Yes
Client 1,Website Development,John Smith,Design,2023-07-09,2,Held design review meeting,Yes
Client 1,Website Development,John Smith,Design,2023-07-10,1,Managed and coordinated design team,Yes
Client 1,Website Development,John Smith,Project Meeting,2023-07-10,2,Project meeting,No
Client 1,Website Development,John Smith,Design,2023-07-11,2.5,Reviewed design revisions,No
Client 1,Website Development,John Smith,Project Meeting,2023-07-11,1,Project meeting,No
Client 1,Website Development,John Smith,Design,2023-07-12,2,Consulted with client on design,Yes
Client 1,Website Development,John Smith,Design,2023-07-13,2,Provided feedback on design,Yes
Client 1,Website Development,John Smith,Design,2023-07-14,2,Provided feedback on design,Yes
Client 1,Website Development,John Smith,Design,2023-07-15,1.5,Reviewed design revisions,No
Client 1,Website Development,John Smith,Design,2023-07-16,1,Reviewed design revisions,Yes
Client 1,Website Development,John Smith,Design,2023-07-17,0.5,Managed and coordinated design team,Yes
Client 1,Website Development,John Smith,Design,2023-07-18,1,Held design review meeting,Yes
Client 1,Website Development,John Smith,Design,2023-07-19,0,Consulted with client on design,Yes
Client 1,Website Development,John Smith,Design,2023-07-20,0,Consulted with client on design,Yes
Client 1,Website Development,John Smith,Design,2023-07-21,0,Managed and coordinated design team,Yes
Client 1,Website Development,John Smith,Design,2023-07-22,0,Consulted with client on design,Yes
Client 1,Website Development,John Smith,Design,2023-07-23,0,Reviewed design revisions,Yes
Client 1,Website Development,John Smith,Design,2023-07-24,0,Consulted with client on design,Yes
Client 1,Website Development,Liu Wei,Development,2023-07-31,8,Refactored code for improved performance,Yes
Client 1,Website Development,Liu Wei,Development,2023-08-01,6,Implemented design in HTML/CSS,Yes
Client 1,Website Development,Liu Wei,Development,2023-08-02,7.5,Implemented design in HTML/CSS,Yes
Client 1,Website Development,Liu Wei,Development,2023-08-03,6.5,Implemented design in HTML/CSS,Yes
Client 1,Website Development,Liu Wei,Project Meeting,2023-08-03,2,Project meeting,No
Client 1,Website Development,Liu Wei,Development,2023-08-04,7,Fixed bugs and improved functionality,Yes
Client 1,Website Development,Liu Wei,Development,2023-08-05,7,Performed code review,Yes
Client 1,Website Development,Liu Wei,Development,2023-08-06,6,Refactored code for improved performance,Yes
Client 1,Website Development,Liu Wei,Development,2023-08-07,8,Implemented design in HTML/CSS,No
Client 1,Website Development,Liu Wei,Development,2023-08-08,6.5,Refactored code for improved performance,Yes
Client 1,Website Development,Liu Wei,Development,2023-08-09,7.5,Optimized web page loading times,No
Client 1,Website Development,Liu Wei,Project Meeting,2023-08-09,1,Project meeting,No
Client 1,Website Development,Liu Wei,Development,2023-08-10,8,Fixed bugs and improved functionality,Yes
Client 1,Website Development,Liu Wei,Project Meeting,2023-08-10,0.5,Project meeting,No
Client 1,Website Development,Liu Wei,Development,2023-08-11,7.5,Refactored code for improved performance,Yes
Client 1,Website Development,Liu Wei,Development,2023-08-12,6.5,Implemented design in HTML/CSS,Yes
Client 1,Website Development,Liu Wei,Development,2023-08-13,8,Performed code review,Yes
Client 1,Website Development,Liu Wei,Development,2023-08-14,6.5,Fixed bugs and improved functionality,Yes
Client 1,Website Development,Liu Wei,Development,2023-08-15,7.5,Fixed bugs and improved functionality,Yes
Client 1,Website Development,Liu Wei,Development,2023-08-16,6.5,Optimized web page loading times,Yes
Client 1,Website Development,Liu Wei,Development,2023-08-17,7,Refactored code for improved performance,Yes
Client 1,Website Development,Liu Wei,Development,2023-08-18,8,Implemented design in HTML/CSS,Yes
Client 1,Website Development,Liu Wei,Development,2023-08-19,7,Fixed bugs and improved functionality,No
Client 1,Website Development,Liu Wei,Development,2023-08-20,7,Optimized web page loading times,Yes
Client 1,Website Development,Liu Wei,Development,2023-08-21,0.5,Performed code review,Yes
Client 1,Website Development,Liu Wei,Development,2023-08-22,0,Performed code review,Yes
Client 1,Website Development,Liu Wei,Development,2023-08-23,0,Refactored code for improved performance,Yes
Client 1,Website Development,Liu Wei,Development,2023-08-24,0,Fixed bugs and improved functionality,No
Client 1,Website Development,Liu Wei,Development,2023-08-25,0,Optimized web page loading times,Yes
Client 1,Website Development,Liu Wei,Development,2023-08-26,0,Optimized web page loading times,No
Client 1,Website Development,Liu Wei,Project Meeting,2023-08-26,1.5,Project meeting,No
Client 1,Website Development,Liu Wei,Development,2023-08-27,0,Fixed bugs and improved functionality,Yes
Client 1,Website Development,Liu Wei,Development,2023-08-28,0,Implemented design in HTML/CSS,No
Client 1,Website Development,Emily Patel,Testing,2023-08-21,7,Performed quality assurance testing,Yes
Client 1,Website Development,Emily Patel,Testing,2023-08-22,6.5,Verified bug fixes,No
Client 1,Website Development,Emily Patel,Testing,2023-08-23,6.5,Created test cases,Yes
Client 1,Website Development,Emily Patel,Project Meeting,2023-08-23,2,Project meeting,No
Client 1,Website Development,Emily Patel,Testing,2023-08-24,6.5,Verified bug fixes,Yes
Client 1,Website Development,Emily Patel,Testing,2023-08-25,8,Created test cases,Yes
Client 1,Website Development,Emily Patel,Testing,2023-08-26,7,Performed quality assurance testing,Yes
Client 1,Website Development,Emily Patel,Testing,2023-08-27,8,Created test cases,Yes
Client 1,Website Development,Emily Patel,Testing,2023-08-28,7,Identified and reported bugs,Yes
Client 1,Website Development,Emily Patel,Testing,2023-08-29,7,Performed quality assurance testing,Yes
Client 1,Website Development,Emily Patel,Testing,2023-08-30,6.5,Identified and reported bugs,Yes
Client 1,Website Development,Emily Patel,Testing,2023-08-31,7,Tested website on various browsers,Yes
Client 1,Website Development,Emily Patel,Testing,2023-09-01,0,Verified bug fixes,Yes
Client 1,Website Development,Emily Patel,Testing,2023-09-02,0,Created test cases,Yes
Client 1,Website Development,Emily Patel,Testing,2023-09-03,0,Created test cases,Yes
Client 1,Website Development,Emily Patel,Project Meeting,2023-09-03,1,Project meeting,No
Client 1,Website Development,Emily Patel,Testing,2023-09-04,0,Verified bug fixes,No
Client 1,Website Development,Ali Khan,Management,2023-07-03,2.5,Facilitated team meeting,Yes
Client 1,Website Development,Ali Khan,Management,2023-07-04,3,Coordinated project tasks and timelines,Yes
Client 1,Website Development,Ali Khan,Project Meeting,2023-07-04,1.5,Project meeting,No
Client 1,Website Development,Ali Khan,Management,2023-07-05,2.5,Checked in on project progress,Yes
Client 1,Website Development,Ali Khan,Management,2023-07-06,2.5,Facilitated team meeting,Yes
Client 1,Website Development,Ali Khan,Management,2023-07-07,1,Coordinated project tasks and timelines,Yes
Client 1,Website Development,Ali Khan,Management,2023-07-08,1,Checked in on project progress,Yes
Client 1,Website Development,Ali Khan,Management,2023-07-09,2.5,Coordinated project tasks and timelines,Yes
Client 1,Website Development,Ali Khan,Management,2023-07-10,1,Coordinated project tasks and timelines,Yes
Client 1,Website Development,Ali Khan,Management,2023-07-11,1.5,Communicated with client,Yes
Client 1,Website Development,Ali Khan,Management,2023-07-12,2.5,Checked in on project progress,Yes
Client 1,Website Development,Ali Khan,Management,2023-07-13,2.5,Adjusted project timeline,Yes
Client 1,Website Development,Ali Khan,Project Meeting,2023-07-13,2,Project meeting,No
Client 1,Website Development,Ali Khan,Management,2023-07-14,2,Checked in on project progress,Yes
Client 1,Website Development,Ali Khan,Management,2023-07-15,1.5,Coordinated project tasks and timelines,Yes
Client 1,Website Development,Ali Khan,Management,2023-07-16,2,Coordinated project tasks and timelines,Yes
Client 1,Website Development,Ali Khan,Management,2023-07-17,2,Checked in on project progress,Yes
Client 1,Website Development,Ali Khan,Management,2023-07-18,1.5,Adjusted project timeline,Yes
Client 1,Website Development,Ali Khan,Management,2023-07-19,1.5,Adjusted project timeline,Yes
Client 1,Website Development,Ali Khan,Management,2023-07-20,1,Checked in on project progress,Yes
Client 1,Website Development,Ali Khan,Project Meeting,2023-07-20,1.5,Project meeting,No
Client 1,Website Development,Ali Khan,Management,2023-07-21,1,Adjusted project timeline,Yes
Client 1,Website Development,Ali Khan,Management,2023-07-22,2,Checked in on project progress,Yes
Client 1,Website Development,Ali Khan,Management,2023-07-23,2,Checked in on project progress,Yes
Client 1,Website Development,Ali Khan,Management,2023-07-24,1.5,Coordinated project tasks and timelines,Yes
Client 1,Website Development,Ali Khan,Project Meeting,2023-07-24,1,Project meeting,No
Client 1,Website Development,Ali Khan,Management,2023-07-25,2.5,Checked in on project progress,Yes
Client 1,Website Development,Ali Khan,Management,2023-07-26,1,Checked in on project progress,Yes
Client 1,Website Development,Ali Khan,Management,2023-07-27,1.5,Facilitated team meeting,Yes
Client 1,Website Development,Ali Khan,Management,2023-07-28,1.5,Adjusted project timeline,Yes
Client 1,Website Development,Ali Khan,Management,2023-07-29,2.5,Facilitated team meeting,Yes
Client 1,Website Development,Ali Khan,Management,2023-07-30,2.5,Coordinated project tasks and timelines,Yes
Client 1,Website Development,Ali Khan,Management,2023-07-31,2,Checked in on project progress,Yes
Client 1,Website Development,Ali Khan,Management,2023-08-01,2.5,Adjusted project timeline,Yes
Client 1,Website Development,Ali Khan,Management,2023-08-02,2,Adjusted project timeline,Yes
Client 1,Website Development,Ali Khan,Management,2023-08-03,1,Facilitated team meeting,Yes
Client 1,Website Development,Ali Khan,Management,2023-08-04,3,Facilitated team meeting,Yes
Client 1,Website Development,Ali Khan,Project Meeting,2023-08-04,1.5,Project meeting,No
Client 1,Website Development,Ali Khan,Management,2023-08-05,3,Coordinated project tasks and timelines,Yes
Client 1,Website Development,Ali Khan,Management,2023-08-06,1,Communicated with client,Yes
Client 1,Website Development,Ali Khan,Management,2023-08-07,2,Facilitated team meeting,Yes
Client 1,Website Development,Ali Khan,Management,2023-08-08,2.5,Checked in on project progress,Yes
Client 1,Website Development,Ali Khan,Management,2023-08-09,2.5,Checked in on project progress,Yes
Client 1,Website Development,Ali Khan,Management,2023-08-10,2,Facilitated team meeting,Yes
Client 1,Website Development,Ali Khan,Management,2023-08-11,1.5,Facilitated team meeting,No
Client 1,Website Development,Ali Khan,Management,2023-08-12,1.5,Facilitated team meeting,Yes
Client 1,Website Development,Ali Khan,Management,2023-08-13,3,Coordinated project tasks and timelines,Yes
Client 1,Website Development,Ali Khan,Management,2023-08-14,1.5,Communicated with client,No
Client 1,Website Development,Ali Khan,Management,2023-08-15,2,Adjusted project timeline,Yes
Client 1,Website Development,Ali Khan,Management,2023-08-16,2,Checked in on project progress,Yes
Client 1,Website Development,Ali Khan,Management,2023-08-17,1,Communicated with client,Yes
Client 1,Website Development,Ali Khan,Management,2023-08-18,3,Checked in on project progress,Yes
Client 1,Website Development,Ali Khan,Management,2023-08-19,1,Adjusted project timeline,Yes
Client 1,Website Development,Ali Khan,Management,2023-08-20,0,Coordinated project tasks and timelines,Yes
Client 1,Website Development,Ali Khan,Management,2023-08-21,0,Checked in on project progress,Yes
Client 1,Website Development,Ali Khan,Management,2023-08-22,0,Adjusted project timeline,Yes
Client 1,Website Development,Ali Khan,Management,2023-08-23,0,Facilitated team meeting,Yes
Client 1,Website Development,Ali Khan,Management,2023-08-24,0,Adjusted project timeline,Yes
Client 1,Website Development,Ali Khan,Management,2023-08-25,0,Adjusted project timeline,Yes
Client 1,Website Development,Ali Khan,Management,2023-08-26,0,Facilitated team meeting,No
Client 1,Website Development,Ali Khan,Management,2023-08-27,0,Checked in on project progress,Yes
Client 1,Website Development,Ali Khan,Management,2023-08-28,0,Adjusted project timeline,Yes
Client 1,Website Development,Ali Khan,Management,2023-08-29,0,Adjusted project timeline,Yes
Client 1,Website Development,Ali Khan,Management,2023-08-30,0,Facilitated team meeting,Yes
Client 1,Website Development,Ali Khan,Management,2023-08-31,0,Coordinated project tasks and timelines,Yes
Client 1,Website Development,Ali Khan,Management,2023-09-01,0,Facilitated team meeting,Yes
Client 1,Website Development,Ali Khan,Management,2023-09-02,0,Checked in on project progress,Yes
Client 1,Website Development,Ali Khan,Management,2023-09-03,0,Communicated with client,Yes
Client 1,Website Development,Ali Khan,Management,2023-09-04,0,Adjusted project timeline,Yes
Client 1,Brand Guideline,Xu Li,Design,2023-07-03,7,Created brand style guide,No
Client 1,Brand Guideline,Xu Li,Design,2023-07-04,7.5,Made revisions to branding,Yes
Client 1,Brand Guideline,Xu Li,Design,2023-07-05,7.5,Reviewed branding with client,Yes
Client 1,Brand Guideline,Xu Li,Design,2023-07-06,8,Made revisions to branding,Yes
Client 1,Brand Guideline,Xu Li,Project Meeting,2023-07-06,1,Project meeting,No
Client 1,Brand Guideline,Xu Li,Design,2023-07-07,6.5,Created brand style guide,Yes
Client 1,Brand Guideline,Xu Li,Design,2023-07-08,6,Reviewed branding with client,No
Client 1,Brand Guideline,Xu Li,Design,2023-07-09,6,Made revisions to branding,Yes
Client 1,Brand Guideline,Xu Li,Design,2023-07-10,7.5,Made revisions to branding,Yes
Client 1,Brand Guideline,Xu Li,Project Meeting,2023-07-10,1.5,Project meeting,No
Client 1,Brand Guideline,Xu Li,Design,2023-07-11,6,Made revisions to branding,Yes
Client 1,Brand Guideline,Xu Li,Design,2023-07-12,7.5,Developed brand identity and guidelines,Yes
Client 1,Brand Guideline,Xu Li,Design,2023-07-13,7,Developed brand identity and guidelines,No
Client 1,Brand Guideline,Xu Li,Design,2023-07-14,7,Developed brand identity and guidelines,Yes
Client 1,Brand Guideline,Xu Li,Design,2023-07-15,7,Created brand style guide,Yes
Client 1,Brand Guideline,Xu Li,Design,2023-07-16,7.5,Reviewed branding with client,Yes
Client 1,Brand Guideline,Xu Li,Design,2023-07-17,6.5,Made revisions to branding,Yes
Client 1,Brand Guideline,Xu Li,Design,2023-07-18,6.5,Developed brand identity and guidelines,Yes
Client 1,Brand Guideline,Xu Li,Design,2023-07-19,1,Created brand style guide,Yes
Client 1,Brand Guideline,Xu Li,Design,2023-07-20,0,Developed brand identity and guidelines,Yes
Client 1,Brand Guideline,Xu Li,Design,2023-07-21,0,Created brand style guide,Yes
Client 1,Brand Guideline,Xu Li,Design,2023-07-22,0,Developed brand identity and guidelines,No
Client 1,Brand Guideline,Xu Li,Design,2023-07-23,0,Developed brand identity and guidelines,Yes
Client 1,Brand Guideline,Xu Li,Design,2023-07-24,0,Created brand style guide,Yes
Client 1,Brand Guideline,John Smith,Design,2023-07-03,2,Reviewed design revisions,Yes
Client 1,Brand Guideline,John Smith,Project Meeting,2023-07-03,1.5,Project meeting,No
Client 1,Brand Guideline,John Smith,Design,2023-07-04,1.5,Managed and coordinated design team,No
Client 1,Brand Guideline,John Smith,Project Meeting,2023-07-04,0.5,Project meeting,No
Client 1,Brand Guideline,John Smith,Design,2023-07-05,2.5,Consulted with client on design,Yes
Client 1,Brand Guideline,John Smith,Design,2023-07-06,2,Consulted with client on design,Yes
Client 1,Brand Guideline,John Smith,Design,2023-07-07,1,Managed and coordinated design team,Yes
Client 1,Brand Guideline,John Smith,Design,2023-07-08,2,Consulted with client on design,Yes
Client 1,Brand Guideline,John Smith,Design,2023-07-09,1.5,Consulted with client on design,Yes
Client 1,Brand Guideline,John Smith,Design,2023-07-10,1.5,Provided feedback on design,Yes
Client 1,Brand Guideline,John Smith,Design,2023-07-11,1.5,Held design review meeting,Yes
Client 1,Brand Guideline,John Smith,Design,2023-07-12,1,Managed and coordinated design team,Yes
Client 1,Brand Guideline,John Smith,Design,2023-07-13,2,Consulted with client on design,Yes
Client 1,Brand Guideline,John Smith,Design,2023-07-14,2,Held design review meeting,Yes
Client 1,Brand Guideline,John Smith,Design,2023-07-15,2,Provided feedback on design,Yes
Client 1,Brand Guideline,John Smith,Design,2023-07-16,2,Managed and coordinated design team,Yes
Client 1,Brand Guideline,John Smith,Design,2023-07-17,1.5,Consulted with client on design,Yes
Client 1,Brand Guideline,John Smith,Design,2023-07-18,1.5,Managed and coordinated design team,Yes
Client 1,Brand Guideline,John Smith,Design,2023-07-19,1.5,Managed and coordinated design team,Yes
Client 1,Brand Guideline,John Smith,Design,2023-07-20,2,Held design review meeting,Yes
Client 1,Brand Guideline,John Smith,Design,2023-07-21,1,Reviewed design revisions,No
Client 1,Brand Guideline,John Smith,Design,2023-07-22,0,Managed and coordinated design team,Yes
Client 1,Brand Guideline,John Smith,Design,2023-07-23,0,Consulted with client on design,Yes
Client 1,Brand Guideline,John Smith,Project Meeting,2023-07-23,0.5,Project meeting,No
Client 1,Brand Guideline,John Smith,Design,2023-07-24,0,Reviewed design revisions,No
Client 1,Brand Guideline,Ali Khan,Management,2023-07-03,2.5,Communicated with client,Yes
Client 1,Brand Guideline,Ali Khan,Management,2023-07-04,1.5,Adjusted project timeline,Yes
Client 1,Brand Guideline,Ali Khan,Management,2023-07-05,1.5,Communicated with client,Yes
Client 1,Brand Guideline,Ali Khan,Management,2023-07-06,2,Facilitated team meeting,Yes
Client 1,Brand Guideline,Ali Khan,Management,2023-07-07,1,Adjusted project timeline,Yes
Client 1,Brand Guideline,Ali Khan,Management,2023-07-08,2.5,Coordinated project tasks and timelines,Yes
Client 1,Brand Guideline,Ali Khan,Management,2023-07-09,1,Adjusted project timeline,Yes
Client 1,Brand Guideline,Ali Khan,Management,2023-07-10,1.5,Adjusted project timeline,Yes
Client 1,Brand Guideline,Ali Khan,Management,2023-07-11,2.5,Facilitated team meeting,Yes
Client 1,Brand Guideline,Ali Khan,Management,2023-07-12,1,Coordinated project tasks and timelines,Yes
Client 1,Brand Guideline,Ali Khan,Management,2023-07-13,1,Checked in on project progress,Yes
Client 1,Brand Guideline,Ali Khan,Management,2023-07-14,1.5,Communicated with client,Yes
Client 1,Brand Guideline,Ali Khan,Management,2023-07-15,1,Coordinated project tasks and timelines,Yes
Client 1,Brand Guideline,Ali Khan,Management,2023-07-16,1,Communicated with client,No
Client 1,Brand Guideline,Ali Khan,Management,2023-07-17,1.5,Communicated with client,Yes
Client 1,Brand Guideline,Ali Khan,Management,2023-07-18,1,Coordinated project tasks and timelines,Yes
Client 1,Brand Guideline,Ali Khan,Project Meeting,2023-07-18,1,Project meeting,No
Client 1,Brand Guideline,Ali Khan,Management,2023-07-19,0,Communicated with client,Yes
Client 1,Brand Guideline,Ali Khan,Management,2023-07-20,0,Checked in on project progress,Yes
Client 1,Brand Guideline,Ali Khan,Management,2023-07-21,0,Adjusted project timeline,No
Client 1,Brand Guideline,Ali Khan,Management,2023-07-22,0,Facilitated team meeting,Yes
Client 1,Brand Guideline,Ali Khan,Management,2023-07-23,0,Checked in on project progress,Yes
Client 1,Brand Guideline,Ali Khan,Project Meeting,2023-07-23,0.5,Project meeting,No
Client 1,Brand Guideline,Ali Khan,Management,2023-07-24,0,Checked in on project progress,Yes
Client 2,Book Localization to Ukraine,Vladyslav Shevchenko,Localization,2023-07-10,7.5,Consulted on cultural appropriateness,Yes
Client 2,Book Localization to Ukraine,Vladyslav Shevchenko,Localization,2023-07-11,6.5,Proofread translated content,Yes
Client 2,Book Localization to Ukraine,Vladyslav Shevchenko,Localization,2023-07-12,7.5,Translated and localized content,Yes
Client 2,Book Localization to Ukraine,Vladyslav Shevchenko,Localization,2023-07-13,7,Adjusted translation based on feedback,Yes
Client 2,Book Localization to Ukraine,Vladyslav Shevchenko,Project Meeting,2023-07-13,1,Project meeting,No
Client 2,Book Localization to Ukraine,Vladyslav Shevchenko,Localization,2023-07-14,6.5,Consulted on cultural appropriateness,Yes
Client 2,Book Localization to Ukraine,Vladyslav Shevchenko,Localization,2023-07-15,7,Proofread translated content,Yes
Client 2,Book Localization to Ukraine,Vladyslav Shevchenko,Localization,2023-07-16,7,Consulted on cultural appropriateness,Yes
Client 2,Book Localization to Ukraine,Vladyslav Shevchenko,Localization,2023-07-17,7.5,Adjusted translation based on feedback,Yes
Client 2,Book Localization to Ukraine,Vladyslav Shevchenko,Localization,2023-07-18,8,Adjusted translation based on feedback,Yes
Client 2,Book Localization to Ukraine,Vladyslav Shevchenko,Localization,2023-07-19,8,Consulted on cultural appropriateness,No
Client 2,Book Localization to Ukraine,Vladyslav Shevchenko,Localization,2023-07-20,7.5,Consulted on cultural appropriateness,Yes
Client 2,Book Localization to Ukraine,Vladyslav Shevchenko,Localization,2023-07-21,7,Translated and localized content,Yes
Client 2,Book Localization to Ukraine,Vladyslav Shevchenko,Localization,2023-07-22,6,Consulted on cultural appropriateness,Yes
Client 2,Book Localization to Ukraine,Vladyslav Shevchenko,Localization,2023-07-23,7.5,Held meeting with translation team,Yes
Client 2,Book Localization to Ukraine,Vladyslav Shevchenko,Localization,2023-07-24,6,Adjusted translation based on feedback,Yes
Client 2,Book Localization to Ukraine,Vladyslav Shevchenko,Localization,2023-07-25,7.5,Adjusted translation based on feedback,Yes
Client 2,Book Localization to Ukraine,Vladyslav Shevchenko,Localization,2023-07-26,6,Adjusted translation based on feedback,No
Client 2,Book Localization to Ukraine,Vladyslav Shevchenko,Localization,2023-07-27,7,Adjusted translation based on feedback,Yes
Client 2,Book Localization to Ukraine,Vladyslav Shevchenko,Localization,2023-07-28,7.5,Adjusted translation based on feedback,Yes
Client 2,Book Localization to Ukraine,Vladyslav Shevchenko,Project Meeting,2023-07-28,1.5,Project meeting,No
Client 2,Book Localization to Ukraine,Vladyslav Shevchenko,Localization,2023-07-29,6.5,Proofread translated content,Yes
Client 2,Book Localization to Ukraine,Vladyslav Shevchenko,Localization,2023-07-30,7,Adjusted translation based on feedback,Yes
Client 2,Book Localization to Ukraine,Vladyslav Shevchenko,Localization,2023-07-31,7.5,Adjusted translation based on feedback,Yes
Client 2,Book Localization to Ukraine,Vladyslav Shevchenko,Localization,2023-08-01,7.5,Translated and localized content,Yes
Client 2,Book Localization to Ukraine,Vladyslav Shevchenko,Localization,2023-08-02,6,Consulted on cultural appropriateness,Yes
Client 2,Book Localization to Ukraine,Vladyslav Shevchenko,Localization,2023-08-03,7,Translated and localized content,No
Client 2,Book Localization to Ukraine,Vladyslav Shevchenko,Localization,2023-08-04,6,Held meeting with translation team,Yes
Client 2,Book Localization to Ukraine,Vladyslav Shevchenko,Localization,2023-08-05,0,Consulted on cultural appropriateness,Yes
Client 2,Book Localization to Ukraine,Vladyslav Shevchenko,Localization,2023-08-06,0,Adjusted translation based on feedback,No
Client 2,Book Localization to Ukraine,Vladyslav Shevchenko,Localization,2023-08-07,0,Translated and localized content,Yes
Client 2,Book Localization to Ukraine,Vladyslav Shevchenko,Localization,2023-08-08,0,Proofread translated content,Yes
Client 2,Book Localization to Ukraine,Vladyslav Shevchenko,Localization,2023-08-09,0,Translated and localized content,Yes
Client 2,Book Localization to Ukraine,Vladyslav Shevchenko,Localization,2023-08-10,0,Proofread translated content,Yes
Client 2,Book Localization to Ukraine,Vladyslav Shevchenko,Project Meeting,2023-08-10,1.5,Project meeting,No
Client 2,Book Localization to Ukraine,Vladyslav Shevchenko,Localization,2023-08-11,0,Held meeting with translation team,Yes
Client 2,Book Localization to Ukraine,Vladyslav Shevchenko,Project Meeting,2023-08-11,1.5,Project meeting,No
Client 2,Book Localization to Ukraine,Vladyslav Shevchenko,Localization,2023-08-12,0,Consulted on cultural appropriateness,Yes
Client 2,Book Localization to Ukraine,Vladyslav Shevchenko,Localization,2023-08-13,0,Consulted on cultural appropriateness,Yes
Client 2,Book Localization to Ukraine,Vladyslav Shevchenko,Localization,2023-08-14,0,Held meeting with translation team,Yes
Client 2,Book Localization to Ukraine,Xu Li,Design,2023-07-24,8,Reviewed branding with client,Yes
Client 2,Book Localization to Ukraine,Xu Li,Project Meeting,2023-07-24,2,Project meeting,No
Client 2,Book Localization to Ukraine,Xu Li,Design,2023-07-25,6,Reviewed branding with client,Yes
Client 2,Book Localization to Ukraine,Xu Li,Design,2023-07-26,7,Made revisions to branding,Yes
Client 2,Book Localization to Ukraine,Xu Li,Design,2023-07-27,8,Designed logo,Yes
Client 2,Book Localization to Ukraine,Xu Li,Design,2023-07-28,7,Created brand style guide,Yes
Client 2,Book Localization to Ukraine,Xu Li,Design,2023-07-29,6.5,Reviewed branding with client,Yes
Client 2,Book Localization to Ukraine,Xu Li,Design,2023-07-30,6.5,Reviewed branding with client,Yes
Client 2,Book Localization to Ukraine,Xu Li,Design,2023-07-31,7,Created brand style guide,Yes
Client 2,Book Localization to Ukraine,Xu Li,Design,2023-08-01,6.5,Reviewed branding with client,Yes
Client 2,Book Localization to Ukraine,Xu Li,Design,2023-08-02,6.5,Designed logo,Yes
Client 2,Book Localization to Ukraine,Xu Li,Design,2023-08-03,7.5,Reviewed branding with client,Yes
Client 2,Book Localization to Ukraine,Xu Li,Design,2023-08-04,6.5,Created brand style guide,Yes
Client 2,Book Localization to Ukraine,Xu Li,Design,2023-08-05,7.5,Designed logo,Yes
Client 2,Book Localization to Ukraine,Xu Li,Design,2023-08-06,6.5,Designed logo,Yes
Client 2,Book Localization to Ukraine,Xu Li,Design,2023-08-07,6.5,Created brand style guide,Yes
Client 2,Book Localization to Ukraine,Xu Li,Design,2023-08-08,6.5,Created brand style guide,No
Client 2,Book Localization to Ukraine,Xu Li,Design,2023-08-09,8,Reviewed branding with client,Yes
Client 2,Book Localization to Ukraine,Xu Li,Design,2023-08-10,8,Developed brand identity and guidelines,Yes
